event_id,symbol,event_type,ex_date,decision_ts,t0_price,t1_overnight_2000_ts,t1_premarket_0400_ts,gross_dividend,gross_dividend_source,gross_dividend_published_ts,gross_known_before_decision,withholding_source,withholding_published_ts,withholding_known_before_decision,fee_schedule_in_force,fee_rate,cost_assumption,eligible_ex_ante,exclusion_reason
rKO-2026-06-15-1,rKO,CASH_DIV,2026-06-15,2026-06-12T23:59:00+00:00,82.66,2026-06-13T00:00:00+00:00,2026-06-15T08:00:00+00:00,0.53,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rMO-2026-06-15-1,rMO,CASH_DIV,2026-06-15,2026-06-12T23:59:00+00:00,72.163,2026-06-13T00:00:00+00:00,2026-06-15T08:00:00+00:00,1.06,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-15-1,rSATA,CASH_DIV,2026-06-15,,,,,0.0542,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rSTRC-2026-06-15-1,rSTRC,CASH_DIV,2026-06-15,,,,,0.95833333,other:nasdaq_declared,2026-05-30T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rGEV-2026-06-16-1,rGEV,CASH_DIV,2026-06-16,2026-06-15T23:59:00+00:00,980.625,2026-06-16T00:00:00+00:00,2026-06-16T08:00:00+00:00,0.5,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rHPE-2026-06-16-1,rHPE,CASH_DIV,2026-06-16,2026-06-15T23:59:00+00:00,48.804,2026-06-16T00:00:00+00:00,2026-06-16T08:00:00+00:00,0.1425,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-16-1,rSATA,CASH_DIV,2026-06-16,,,,,0.0542,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rLRCX-2026-06-17-1,rLRCX,CASH_DIV,2026-06-17,2026-06-16T23:59:00+00:00,369.884,2026-06-17T00:00:00+00:00,2026-06-17T08:00:00+00:00,0.26,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-17-1,rSATA,CASH_DIV,2026-06-17,,,,,0.0542,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-18-1,rSATA,CASH_DIV,2026-06-18,,,,,0.0542,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rAVGO-2026-06-22-1,rAVGO,CASH_DIV,2026-06-22,2026-06-18T23:59:00+00:00,411.256,2026-06-19T00:00:00+00:00,2026-06-22T08:00:00+00:00,0.65,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rQQQ-2026-06-22-1,rQQQ,CASH_DIV,2026-06-22,2026-06-18T23:59:00+00:00,739.817,2026-06-19T00:00:00+00:00,2026-06-22T08:00:00+00:00,0.81349,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rSATA-2026-06-22-1,rSATA,CASH_DIV,2026-06-22,,,,,0.0542,other:nasdaq_declared,2026-05-13T00:00:00-04:00,NO,other:robust_range,,RANGE_USED,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rVST-2026-06-22-1,rVST,CASH_DIV,2026-06-22,2026-06-18T23:59:00+00:00,163.6,2026-06-19T00:00:00+00:00,2026-06-22T08:00:00+00:00,0.229,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rAPH-2026-06-23-1,rAPH,CASH_DIV,2026-06-23,,,,,0.25,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,DISCOVERY_EVENT_UNUSABLE;NO_VALID_T0_OBSERVATION;NO_PRE_DECISION_GROSS_DECLARATION
rAVL-2026-06-23-1,rAVL,CASH_DIV,2026-06-23,2026-06-22T23:53:00+00:00,48.23,2026-06-23T00:04:00+00:00,2026-06-23T08:00:00+00:00,0.20039,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
rLABD-2026-06-23-1,rLABD,CASH_DIV,2026-06-23,2026-06-22T23:59:00+00:00,10.015,2026-06-23T00:01:00+00:00,2026-06-23T08:00:00+00:00,0.07523,bitget_notice,2026-07-23T17:42:00+00:00,NO,bitget_notice,2026-07-23T17:42:00+00:00,NO,DOCUMENTED promotional 0.05% through 2026-08-31,0.0005,MODELED_EXECUTION:25_BPS_ROUND_TRIP,NO,NO_PRE_DECISION_GROSS_DECLARATION
