event_id,symbol,usable,reason,gross,p_pre,yield_pct,u_pdr,u_close,u_open,div_check,weekend,p_close_pre,pdr_literature,gap_min,monday,jump_ts,jump_over_div,pdr_overnight_2000,p_overnight_2000,pdr_premarket_0400,p_premarket_0400,pdr_open_0930,p_open_0930,pdr_open_1000,p_open_1000,pdr_close_1600,p_close_1600
rAVGO-2026-06-22-1,rAVGO,True,,0.65,411.256,0.15805240531445136,-3.5538423978365383,411.3500061035156,413.6600036621094,Yahoo agrees on ex-date and amount (to 3 dp),True,411.06,-3.7692307692307514,1.0,True,2026-06-22T00:00:00+00:00,11.676923076923126,0.007692307692300696,411.251,6.855384615384554,406.8,-3.467692307692337,413.51,16.70153846153845,400.4,28.092307692307678,392.996
rAVL-2026-06-23-1,rAVL,True,,0.20039,48.23,0.41548828529960613,18.963018299618476,48.290000915527344,44.4900016784668,Yahoo agrees on ex-date and amount (to 3 dp),False,48.24,14.90094316083639,11.0,False,2026-06-23T13:28:00+00:00,2.42028045311642,0.09980537950993572,48.21,14.945855581615836,45.235,14.851040471081387,45.254,5.928439542891338,47.042,16.49283896402016,44.925
rCRCA-2026-06-24-1,rCRCA,True,,0.181138,20.24,0.8949505928853755,1.2145398169047477,20.010000228881836,19.790000915527344,Yahoo agrees on ex-date and amount (to 3 dp),False,19.953,4.902339652640518,2.0,False,2026-06-24T13:30:00+00:00,4.245381973964593,-0.6624783314379147,20.36,1.1317338162064188,20.035,6.486766995329512,19.065,10.748710927580072,18.293,16.015413662511456,17.339
rFTGC-2026-06-25-1,rFTGC,True,,0.1691,26.966,0.6270859600979011,0.3016002075267501,26.76099967956543,26.709999084472656,Yahoo agrees on ex-date and amount (to 3 dp),False,26.765,0.04730928444706753,697.0,False,2026-06-25T13:30:00+00:00,1.141336487285617,0.005913660555891319,26.965,0.005913660555891319,26.965,1.2359550561797732,26.757,1.4133648728563026,26.727,-0.40804257835599683,27.035
rLABD-2026-06-23-1,rLABD,True,,0.07523,10.015,0.7511732401397904,-3.3231423634188486,10.0,10.25,Yahoo agrees on ex-date and amount (to 3 dp),False,9.999,-0.9038947228499218,2.0,False,2026-06-23T00:01:00+00:00,2.857902432540208,2.857902432540208,9.8,-1.8077894456998436,10.151,-0.6912136115911153,10.067,6.500066462847278,9.526,4.333377641898186,9.689
rPSQ-2026-06-24-1,rPSQ,True,,0.228579,25.97,0.880165575664228,1.2249540828198346,26.049999237060547,25.770000457763672,Yahoo agrees on ex-date and amount (to 3 dp),False,26.038,0.9930921038240622,12.0,False,2026-06-24T00:05:00+00:00,0.699976813268061,0.699976813268061,25.81,1.1112131910630363,25.716,0.6956019581851304,25.811,0.6649779726046464,25.818,0.06999768132679834,25.954
rSOXS-2026-06-23-1,rSOXS,False,no 1m bars at/after openTime 2026-07-15 in window (0 pre-listing bars dropped),0.0375,,,-184.00004069010419,33.0,39.900001525878906,AMOUNT MISMATCH: Yahoo 0.38 vs Bitget 0.0375,True,,,,False,,,,,,,,,,,,
rSPXU-2026-06-24-1,rSPXU,True,,0.391445,39.2,0.9985841836734693,1.5072363999741742,39.369998931884766,38.779998779296875,Yahoo agrees on ex-date and amount (to 3 dp),False,39.356,1.2032341708286058,4.0,False,2026-06-24T00:03:00+00:00,1.0729476682548038,1.0729476682548038,38.78,0.9349972537648958,38.834,0.804710751191112,38.885,1.264545466157454,38.705,0.31422038856034606,39.077
rSQQQ-2026-06-24-1,rSQQQ,True,,0.637637,40.177,1.5870697165044678,1.41146377308548,40.560001373291016,39.65999984741211,Yahoo agrees on ex-date and amount (to 3 dp),True,40.58,1.0993715860277877,1.0,False,2026-06-24T00:00:00+00:00,0.8108061483257762,0.8108061483257762,39.66,1.1432837178520054,39.448,0.46735054584348434,39.879,0.44068960866448903,39.896,-0.31522637488100674,40.378
rSTM-2026-06-23-1,rSTM,True,,0.0765,79.565,0.09614780368252372,103.3987406811683,79.91000366210938,72.0,AMOUNT MISMATCH: Yahoo 0.09 vs Bitget 0.0765,False,79.89,101.17647058823523,2.0,False,2026-06-23T06:59:00+00:00,27.712418300653656,4.1176470588235,79.25,75.90849673202618,73.758,96.9281045751633,72.15,77.12418300653584,73.665,85.51633986928107,73.023
rTQQQ-2026-06-24-1,rTQQQ,True,,0.171229,75.149,0.22785266603680684,-2.0440373658731508,74.44000244140625,74.79000091552734,Yahoo agrees on ex-date and amount (to 3 dp),True,74.41,0.26864608214725466,1.0,False,2026-06-24T13:30:00+00:00,2.447015400428648,-0.7650573208977465,75.28,-0.09928224775006517,75.166,4.584503793165857,74.364,4.853149875313195,74.318,9.980785964994267,73.44
rTZA-2026-06-23-1,rTZA,False,no 1m bars at/after openTime 2026-07-15 in window (0 pre-listing bars dropped),0.03768,,,-42.462905754202744,39.099998474121094,40.70000076293945,AMOUNT MISMATCH: Yahoo 0.38 vs Bitget 0.03768,False,,,,False,,,,,,,,,,,,
rUPRO-2026-06-24-1,rUPRO,True,,0.298729,136.007,0.21964237134853354,-1.1381430590623105,135.3800048828125,135.72000122070312,Yahoo agrees on ex-date and amount (to 3 dp),False,135.532,-0.04686521897767402,1.0,False,2026-06-24T07:35:00+00:00,1.4059565693320282,-0.4786947367011595,136.15,1.118070224183133,135.673,1.543204710624053,135.546,-0.2644537356601057,136.086,4.2078271610724265,134.75
